Hour,Load (kWh)
01:00,5856.42
02:00 ,5856.42
03:00,5866.42
04:00,5826.42
05:00,7090.42
06:00,9684.42
07:00,10817.42
08:00,10829.42
09:00,10440.42
10:00,10122.42
11:00,9752.42
12:00,9304.42
13:00,9199.42
14:00,9209.42
15:00,9148.42
16:00,9472.42
17:00,9600.42
18:00,9814.42
19:00,9774.42
20:00,9804.42
21:00,9804.42
22:00,9039.42
23:00,8200.42
00:00,7788.42
